不妨	不	妨	273075
不受	不	受	269750
不見	不	見	256900
不去	不	去	246890
不出	不	出	241730
不利	不	利	233940
不肯	不	肯	230810
不服	不	服	206215
不容易	不	容易	206160
不像	不	像	205150
不怕	不	怕	203590
不讓	不	讓	201780
不成	不	成	196715
不當	不	當	190910
不等	不	等	188890
不適	不	適	179935
不可以	不	可以	175950
不已	不	已	175640
不算	不	算	172950
不幸	不	幸	171790
不好意思	不	好意思	167940
不安	不	安	163325
不停	不	停	161640
不便	不	便	160360
不及	不	及	158750
不止	不	止	157960
不明	不	明	152880
不該	不	該	152230
不顧	不	顧	151635
不許	不	許	146245
不符	不	符	134970
不時	不	時	132260
不應該	不	應該	132225
不可思議	不	可思議	131425
不知不覺	不	知不覺	127455
不住	不	住	124030
不一	不	一	120990
不曾	不	曾	120875
不覺	不	覺	115625
不解	不	解	113630
不小心	不	小心	107125
不動產	不	動產	106590
不乏	不	乏	103325
不了解	不	了解	98630
不下	不	下	96420
不惜	不	惜	94045
不舒服	不	舒服	92260
不全	不	全	90435
不料	不	料	88420
不免	不	免	85550
不負	不	負	80365
不公	不	公	79210
不合	不	合	79070
不盡	不	盡	77650
不由得	不	由得	76915
不快	不	快	76440
不容	不	容	75905
不難	不	難	74875
不通	不	通	74570
不可或缺	不	可或缺	73900
不慎	不	慎	72420
不屑	不	屑	71835
不由自主	不	由自主	70190
不平	不	平	68790
不忍	不	忍	66985
不只	不	只	66045
不知所措	不	知所措	65805
不妥	不	妥	64910
不規則	不	規則	62675
不能不	不	能不	61275
不暢	不	暢	59775
不和	不	和	59625
不力	不	力	58885
不至於	不	至於	58705
不計	不	計	57875
不經	不	經	56205
不善	不	善	55460
不正	不	正	54830
不在乎	不	在乎	54240
不比	不	比	54170
不幹	不	幹	50685
不經意	不	經意	50395
不理	不	理	50045
不約而同	不	約而同	50045
不以為然	不	以為然	48765
不朽	不	朽	48710
不耐煩	不	耐煩	48145
不失為	不	失為	47845
不實	不	實	46660
不勝	不	勝	46060
不得已	不	得已	45200
不甚	不	甚	44945
不致	不	致	44010
不光	不	光	43945
不甘	不	甘	42755
不得了	不	得了	42450
不值得	不	值得	42205
不捨	不	捨	40755
不顧一切	不	顧一切	40660
不絕	不	絕	40200
不可多得	不	可多得	39220
不要緊	不	要緊	38400
不折不扣	不	折不扣	36865
不妙	不	妙	36780
不切實際	不	切實際	36595
不孕	不	孕	36515
不對勁	不	對勁	33860
不祥	不	祥	33720
不予	不	予	33551
不遺餘力	不	遺餘力	33400
不平等	不	平等	32635
不耐	不	耐	32595
不無	不	無	31685
不悅	不	悅	31530
不景氣	不	景氣	30550
不凡	不	凡	29999
不復	不	復	29615
不懈	不	懈	29295
不動聲色	不	動聲色	28410
不愁	不	愁	27600
不得而知	不	得而知	27165
不敵	不	敵	26545
不單	不	單	26315
不見得	不	見得	26000
不外乎	不	外乎	25840
不值	不	值	25675
不擇手段	不	擇手段	25375
不配	不	配	24840
不厭其煩	不	厭其煩	24620
不如意	不	如意	24305
不熟	不	熟	23790
不深	不	深	23635
不尋常	不	尋常	23610
不計其數	不	計其數	23565
不需	不	需	22781
不堪設想	不	堪設想	22645
不亦樂乎	不	亦樂乎	22315
不治	不	治	21285
不足為奇	不	足為奇	21200
不須	不	須	21065
不道德	不	道德	20435
不為過	不	為過	19645
不相上下	不	相上下	19575
不絕於耳	不	絕於耳	19085
不合時宜	不	合時宜	18770
不在話下	不	在話下	18640
不測	不	測	18455
不在意	不	在意	18020
不濟	不	濟	17970
不了了之	不	了了之	17620
不謀而合	不	謀而合	17565
不孝	不	孝	17485
